delta_max,delta_mean,delta_p95,frame,jerk_p95,kind,n_exec,overlap_disagree_max,policy,seam_jump_max,spread_max,spread_mean,spread_step0_max
1.3272057,0.266381,1.1211438,1321,0.29914322,seam,16,1.291336,ddpm100,1.1355858,,,
1.9717855,0.1253556,0.47281837,1554,0.16663462,seam,8,1.1683121,ddpm100,1.4035683,,,
2.7482376,0.124806195,0.31107903,1554,0.21236861,seam,16,1.8392143,ddpm100,1.5254402,,,
0.9675331,0.1767233,0.73393154,1286,0.2414471,seam,8,2.5540314,ddpm100,2.302353,,,
0.9816971,0.17268425,0.6987324,1286,0.19247055,seam,16,2.4284782,ddpm100,2.8519478,,,
4.745735,0.7683126,3.731924,1664,0.6061406,seam,8,2.1104279,ddpm100,1.7044067,,,
4.567848,1.0078516,3.5400467,1664,0.5091557,seam,16,19.993126,ddpm100,15.626396,,,
2.3445816,0.5284368,1.4103317,1961,0.33111078,seam,8,5.235733,ddpm100,6.441368,,,
3.1447983,0.6267398,2.0144825,1961,0.3393784,seam,16,3.4585876,ddpm100,4.6868744,,,
2.0860357,0.20740552,0.59674263,1902,0.3293587,seam,8,2.1652756,ddpm100,2.5360107,,,
1.7920799,0.21122207,0.6259594,1902,0.26427308,seam,16,0.7370224,ddpm100,0.3981018,,,
0.8163681,0.16390933,0.6579399,2295,0.1927334,seam,8,1.203125,ddpm100,1.0003738,,,
0.86306,0.16459347,0.65821075,2295,0.22068483,seam,16,0.98122406,ddpm100,0.8887329,,,
2.4971857,0.21073665,0.61837006,2407,0.27708402,seam,8,1.1382751,ddpm100,0.91608,,,
2.535159,0.18739143,0.6386738,2407,0.21021882,seam,16,0.826355,ddpm100,0.8747101,,,
1.2768707,0.25126368,0.67801905,2238,0.14351922,seam,8,1.617073,ddpm100,1.5320816,,,
1.301178,0.24635471,0.63294816,2238,0.13282587,seam,16,1.3702087,ddpm100,0.94091797,,,
,,,58,,resample,,,ddpm100,,14.227324,2.4851701,0.6089455
,,,375,,resample,,,ddpm100,,2.3732913,0.760094,0.93746823
,,,428,,resample,,,ddpm100,,3.4827836,0.5842895,1.0189296
,,,729,,resample,,,ddpm100,,0.6701057,0.32084736,0.5526898
,,,829,,resample,,,ddpm100,,1.5283033,0.5692927,0.9887372
,,,938,,resample,,,ddpm100,,2.331214,0.5362006,0.5900002
,,,1286,,resample,,,ddpm100,,1.2363645,0.40151882,0.56222665
,,,1321,,resample,,,ddpm100,,1.0571032,0.393671,0.63130283
,,,1554,,resample,,,ddpm100,,2.76927,0.31970516,2.1522448
,,,1664,,resample,,,ddpm100,,21.993868,4.406077,1.101844
